Date,Open,High,Low,Close,Volume,Adj Close
10/21/2008,1670.637695,1670.637695,1622.330078,1670.637695,11016879,1670.637695
10/22/2008,1610.253174,1630.381348,1602.201904,1606.227539,9390533,1606.227539
10/23/2008,1529.740479,1549.868652,1529.740479,1529.740479,7382668,1529.740479
10/24/2008,1453.25354,1489.484131,1453.25354,1453.25354,10855419,1453.25354
10/27/2008,1380.792114,1380.792114,1380.792114,1380.792114,4089020,1380.792114
10/28/2008,1312.356323,1320.407593,1312.356323,1312.356323,35491036,1312.356323
10/29/2008,1376.766479,1376.766479,1255.997437,1312.356323,29552344,1312.356323
10/30/2008,1247.946167,1312.356323,1247.946167,1247.946167,25121729,1247.946167
10/31/2008,1247.946167,1308.330688,1219.766724,1308.330688,18478562,1308.330688
11/3/2008,1260.023071,1348.587036,1247.946167,1300.279419,20109345,1300.279419
11/4/2008,1300.279419,1364.689575,1288.202515,1364.689575,11160462,1364.689575
11/5/2008,1429.099731,1429.099731,1429.099731,1429.099731,2685760,1429.099731
11/6/2008,1408.971558,1497.5354,1388.843384,1481.432861,43640811,1481.432861
11/7/2008,1408.971558,1477.407227,1408.971558,1408.971558,27763547,1408.971558
11/10/2008,1388.843384,1469.355957,1388.843384,1412.997192,12046022,1412.997192
11/11/2008,1360.66394,1368.71521,1344.561401,1344.561401,9869237,1344.561401
11/12/2008,1280.151245,1288.202515,1280.151245,1288.202515,16872586,1288.202515
11/13/2008,1239.894897,1328.458862,1239.894897,1308.330688,8526584,1308.330688
11/14/2008,1368.71521,1368.71521,1308.330688,1336.510132,8366105,1336.510132
11/17/2008,1304.305054,1336.510132,1304.305054,1316.381958,5816205,1316.381958
11/18/2008,1268.074341,1316.381958,1268.074341,1276.12561,7576440,1276.12561
11/19/2008,1288.202515,1292.228149,1268.074341,1272.099976,5234171,1272.099976
11/20/2008,1211.715454,1239.894897,1211.715454,1211.715454,20049986,1211.715454
11/21/2008,1159.382324,1211.715454,1159.382324,1203.664185,11228507,1203.664185
11/24/2008,1247.946167,1247.946167,1207.689819,1215.741089,9733841,1215.741089
11/25/2008,1247.946167,1247.946167,1231.843628,1247.946167,7971141,1247.946167
11/26/2008,1247.946167,1255.997437,1219.766724,1219.766724,9790476,1219.766724
11/27/2008,1207.689819,1207.689819,1167.433594,1167.433594,15247005,1167.433594
11/28/2008,1215.741089,1223.792358,1167.433594,1223.792358,14493589,1223.792358
12/1/2008,1191.58728,1251.971802,1187.561768,1223.792358,6327417,1223.792358
12/2/2008,1207.689819,1207.689819,1199.63855,1199.63855,3083951,1199.63855
12/3/2008,1207.689819,1207.689819,1199.63855,1203.664185,3445888,1203.664185
12/4/2008,1207.689819,1235.869263,1207.689819,1211.715454,6916887,1211.715454
12/5/2008,1191.58728,1191.58728,1127.177246,1139.25415,6089454,1139.25415
12/8/2008,1103.023438,1111.074707,1082.895264,1082.895264,10766227,1082.895264
12/9/2008,1082.895264,1127.177246,1082.895264,1119.125977,7920714,1119.125977
12/10/2008,1103.023438,1111.074707,1094.972168,1094.972168,3432472,1094.972168
12/11/2008,1094.972168,1119.125977,1094.972168,1115.100342,3723114,1115.100342
12/12/2008,1159.382324,1167.433594,1127.177246,1167.433594,12451931,1167.433594
12/15/2008,1223.792358,1223.792358,1187.561768,1223.792358,10931417,1223.792358
12/16/2008,1207.689819,1207.689819,1163.407959,1163.407959,6377843,1163.407959
12/17/2008,1199.63855,1219.766724,1163.407959,1203.664185,8295325,1203.664185
12/18/2008,1203.664185,1231.843628,1187.561768,1215.741089,6093920,1215.741089
12/19/2008,1187.561768,1227.817993,1187.561768,1215.741089,12439503,1215.741089
12/22/2008,1268.074341,1268.074341,1239.894897,1255.997437,10885715,1255.997437
12/23/2008,1235.869263,1239.894897,1215.741089,1227.817993,10076136,1227.817993
12/24/2008,1207.689819,1235.869263,1207.689819,1227.817993,7070164,1227.817993
12/25/2008,1247.946167,1247.946167,1227.817993,1231.843628,5603314,1231.843628
12/26/2008,1231.843628,1255.997437,1227.817993,1247.946167,7264415,1247.946167
12/29/2008,1247.946167,1255.997437,1243.920532,1247.946167,5292062,1247.946167
12/30/2008,1247.946167,1292.228149,1247.946167,1288.202515,16385220,1288.202515
12/31/2008,1300.279419,1300.279419,1268.074341,1268.074341,10409509,1268.074341
1/1/2009,NA,NA,NA,NA,NA,NA
1/2/2009,1268.074341,1268.074341,1243.920532,1247.946167,3337825,1247.946167
1/5/2009,1247.946167,1247.946167,1223.792358,1235.869263,6364927,1235.869263
1/6/2009,1239.894897,1268.074341,1239.894897,1255.997437,7678006,1255.997437
1/7/2009,1288.202515,1308.330688,1280.151245,1296.253784,16761063,1296.253784
